bidirectional_duration_ms,bidirectional_packets,bidirectional_bytes,src2dst_duration_ms,src2dst_packets,src2dst_bytes,dst2src_duration_ms,dst2src_packets,dst2src_bytes,bidirectional_min_ps,bidirectional_mean_ps,bidirectional_stddev_ps,bidirectional_max_ps,src2dst_min_ps,src2dst_mean_ps,src2dst_stddev_ps,src2dst_max_ps,dst2src_min_ps,dst2src_mean_ps,dst2src_stddev_ps,dst2src_max_ps,bidirectional_min_piat_ms,bidirectional_mean_piat_ms,bidirectional_stddev_piat_ms,bidirectional_max_piat_ms,src2dst_min_piat_ms,src2dst_mean_piat_ms,src2dst_stddev_piat_ms,src2dst_max_piat_ms,dst2src_min_piat_ms,dst2src_mean_piat_ms,dst2src_stddev_piat_ms,dst2src_max_piat_ms,bidirectional_syn_packets,bidirectional_cwr_packets,bidirectional_ece_packets,bidirectional_urg_packets,bidirectional_ack_packets,bidirectional_psh_packets,bidirectional_rst_packets,bidirectional_fin_packets,src2dst_syn_packets,src2dst_cwr_packets,src2dst_ece_packets,src2dst_urg_packets,src2dst_ack_packets,src2dst_psh_packets,src2dst_rst_packets,src2dst_fin_packets,dst2src_syn_packets,dst2src_cwr_packets,dst2src_ece_packets,dst2src_urg_packets,dst2src_ack_packets,dst2src_psh_packets,dst2src_rst_packets,dst2src_fin_packets,udps.srcdst_packet_size_variation,udps.srcdst_udp_packet_count,udps.udp_packet_count,udps.srcdst_tcp_packet_count,udps.tcp_packet_count,udps.srcdst_ack_packet_count,udps.ack_packet_count,udps.srcdst_fin_packet_count,udps.fin_packet_count,udps.srcdst_rst_packet_count,udps.rst_packet_count,udps.srcdst_psh_packet_count,udps.psh_packet_count,udps.srcdst_syn_packet_count,udps.syn_packet_count,udps.srcdst_unique_ports_count,udps.srcdst_icmp_packet_count,udps.icmp_packet_count,udps.srcdst_http_ports_count,udps.http_ports_count,udps.srcdst_bidirectional_duration_avg,udps.bidirectional_duration_avg,udps.srcdst_dns_port_count,udps.dns_port_count,udps.srcdst_dns_port_src_count,udps.dns_port_src_count,udps.srcdst_vul_ports_count,udps.src2dst_packet_count,udps.bidirectional_packet_count,udps.srcdst_src2dst_packet_count,udps.srcdst_bidirectional_packet_count,y_pred,pred_clean
0,1,1657,1167,5,810,1054,4,0,1043,1052.6160888671875,0.0,1039,1058,1053.39404296875,0.742482602596283,1037,0,9.123970031738281,0.0,19,5,5.341985702514648,78.26026153564453,65,0,51.65061569213867,5.629426595987752e-05,65,0,48.316749572753906,2.6855537726078182e-05,322,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,591.743896484375,343,343,2,1,3,4,0,1,0,1,2,6,2,7,349,0,0,0,1,599.1195068359375,1627.781005859375,3,0,0,0,0,1031,687,830,643,2,1
0,1,8457,0,4,2286,1656,5,0,283,292.6224670410156,0.0,259,273,271.9073486328125,1.3748259561907616e-06,291,0,1.3034247159957886,9.259695053100586,6,1,37.393863677978516,66.73224639892578,65,5,40.6982536315918,122.86669158935547,65,0,7.888213986007031e-06,2.6855537726078182e-05,101,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,170.23605346679688,41,47,0,0,3,4,0,0,0,0,1,1,0,4,37,0,0,0,0,1145.0164794921875,295.52557373046875,1,1,0,0,3,278,1,110,1,0,1
655,4,7796,655,3,1890,1235,3,6728,245,245.48809814453125,5.932549476623535,240,245,245.36395263671875,3.24245023727417,245,2,7.8241424560546875,2.652475595474243,11,2,26.6822566986084,68.58527374267578,130,2,36.85508346557617,35.195674896240234,130,0,33.254066467285156,96.22525024414062,383,0,0,0,0,6,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,139.53009033203125,260,264,1,1,16,22,0,2,3,3,5,6,8,10,259,0,0,0,0,1522.3299560546875,1476.096923828125,3,4,0,0,1,630,629,630,630,2,1
0,1,3713,0,4,5161,247,1,5818,218,255.2237548828125,3.43892765045166,205,255,253.52224731445312,1.8791918754577637,231,0,1.3034247159957886,4.017126560211182,0,0,36.828311920166016,96.11890411376953,65,0,24.600385665893555,107.60662078857422,426,0,7.888213986007031e-06,2.6855537726078182e-05,287,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,148.16360473632812,350,344,0,0,7,9,0,1,0,2,1,1,6,10,349,0,0,0,0,304.7816467285156,1066.863037109375,3,4,0,0,1,977,712,352,725,2,1
0,1,13310,0,1,6531,1731,5,0,1257,1251.7303466796875,0.7261742949485779,1310,1256,1250.7908935546875,1.3748259561907616e-06,1247,0,0.0,3.95088791847229,0,0,37.31009292602539,95.90357208251953,322,0,51.65061569213867,52.630001068115234,451,0,7.888213986007031e-06,2.6855537726078182e-05,0,0,0,0,0,8,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,735.6083374023438,350,350,2,2,23,31,0,0,2,0,5,6,11,13,350,0,0,0,0,2128.68994140625,2064.041259765625,3,0,0,0,0,978,988,604,1027,2,1
0,6,8340,1253,4,120,247,1,2911,279,272.2450866699219,0.0,315,271,277.0209045410156,1.4002642631530762,271,3,1.3034247159957886,5.189230442047119,0,4,20.482641220092773,13.731334686279297,117,0,43.20417404174805,81.23192596435547,0,0,7.888213986007031e-06,2.6855537726078182e-05,0,0,0,0,0,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,148.905029296875,145,142,0,0,23,31,0,0,3,1,0,0,2,13,146,0,0,0,0,2150.6826171875,1578.744384765625,1,4,0,0,0,154,1,32,302,2,1
0,1,9495,0,2,7375,1481,4,0,1263,1244.7762451171875,0.0,1315,1254,1266.08154296875,1.3748259561907616e-06,1250,0,9.123970031738281,7.924330234527588,0,3,32.001224517822266,82.25739288330078,387,0,51.65061569213867,87.86443328857422,452,0,7.888213986007031e-06,0.1400415003299713,0,0,0,0,0,7,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,720.154541015625,344,350,2,2,20,27,1,0,3,2,5,5,10,11,350,0,0,0,0,2133.48046875,2068.685791015625,4,0,0,0,0,942,784,1048,1048,2,1
0,10,4729,1227,1,2191,494,5,8555,1111,1082.7762451171875,1.1883554458618164,1106,1108,1082.3428955078125,1.3748259561907616e-06,1121,0,0.0,0.0,0,0,37.393863677978516,41.18195724487305,28,0,22.129621505737305,122.86669158935547,200,0,7.888213986007031e-06,64.52395629882812,0,0,0,0,0,7,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,621.4898071289062,346,350,1,1,10,13,0,0,0,1,2,3,5,6,350,0,0,0,0,914.0814208984375,958.2863159179688,0,0,0,0,0,987,1049,529,571,2,1
330,3,9327,330,3,1121,1481,4,8069,208,208.21820068359375,7.115174293518066,206,208,208.15573120117188,4.5355143547058105,208,2,7.826160430908203,1.335363745689392,6,1,32.001224517822266,82.25739288330078,65,1,44.20194625854492,17.718929290771484,65,0,24.986732482910156,115.40719604492188,447,0,0,0,0,7,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,119.10601043701172,349,344,2,2,20,27,0,2,3,3,5,6,10,11,349,0,0,0,0,1825.7977294921875,1770.348388671875,4,4,0,0,1,750,750,750,750,2,1
558,3,1657,0,5,810,1731,1,2913,1052,1071.024658203125,0.0,1033,1068,1043.2657470703125,3.6122031211853027,1079,1,1.3034247159957886,4.849558353424072,0,1,34.34726333618164,13.945690155029297,374,0,37.35166549682617,5.629426595987752e-05,350,0,7.888213986007031e-06,2.6855537726078182e-05,349,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,595.1537475585938,350,349,0,0,23,22,0,0,0,1,5,5,5,8,346,0,0,0,1,1464.3250732421875,295.52557373046875,2,0,0,0,0,778,967,1048,1048,2,1
